holding,article_ref,description,system_ref,unit,received,issued,balance
Stock,236528,CORNER CLEAT,ADS / AWS 65,PACKET,0.0,4.0,-4.0
Stock,236535,CORNER CLEAT,ADS / AWS 65,PACKET,0.0,4.0,-4.0
Stock,236553,CORNER SEAL,ADS / AWS 65,PACKET,0.0,4.0,-4.0
"Villa 24, Street 4, Savannah A",313230,Glzng bead 15-37,AS FD 90 HI,BAR,0.0,4.0,-4.0
"Villa 80 - ST3, Esmeralda – A",9640297,cover,ASE 36 (BALANCE),PACKET,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",205082,"C/s screw ST4,8x30 ISR25","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",225412,Crnr gskt kt C1 39/39,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",225943,Shoot bolt lock 90,"70PD & 90HI, 35PD CW - 7pcs",,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",240784,Hndle C35,"70PD & 90HI, 35PD CW - 7pcs",,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",240802,Lock 3-pt,"70PD & 90HI, 35PD CW - 7pcs",,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",245665,"PA insul. bar Sm 42,5/18,7","70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",246696,Gasket corner 9/3,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",269191,Handle 9005,"70PD & 90HI, 35PD CW - 7pcs",,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",269368,Pull hdle 9005,"70PD & 90HI, 35PD CW - 7pcs",,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",284763,"PA insul. bar Sm 42,5","70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",288614,Seal,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",542380,Outer shell 73,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,4.0,-4.0
"Villa D58, Flame Tree Ridge A",9659956,insert profile,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,4.0,-4.0
Stock,239594,BRRL HNG R51 SS,ADS / AWS 65,NO,0.0,3.0,-3.0
Stock,247001,PUSH W-HDLE C0 IW,ADS / AWS 65,NO,0.0,3.0,-3.0
Stock,247083,HANDLE RSTTE BASIS IW,ADS / AWS 65,NO,0.0,3.0,-3.0
Stock,277180,CAVITY GEARBOX 23 SYM S LS/RS IW,ADS / AWS 65,NO,0.0,3.0,-3.0
"Villa D58, Flame Tree Ridge A",281679,Drainage cowl,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,3.0,-3.0
"Villa D58, Flame Tree Ridge A",484390,Pressure plte Pre-ass.,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,3.0,-3.0
Stock,238441,END SEAL UN. 2-LF LH,ADS / AWS 65,NO,0.0,2.0,-2.0
Stock,242662,CVR PT LH 9005,ADS / AWS 65,PACKET,0.0,2.0,-2.0
Stock,242693,REB. MK-UP PCE 9005,ADS / AWS 65,PACKET,0.0,2.0,-2.0
Stock,9654598,Handle RS,ASE 36,NO,10.0,12.0,-2.0
"Villa 80 - ST3, Esmeralda – A",9640301,cover,ASE 36 (BALANCE),PACKET,0.0,2.0,-2.0
"Villa 80 - ST3, Esmeralda – A",9649627,base plate,ASE 36 (BALANCE),NO,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",201399,Track,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",225465,Seal,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",225801,Rllr car. Both sides C35,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",225901,Rllr car. hge Both sides 9005,"70PD & 90HI, 35PD CW - 7pcs",,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",225908,Rllr car. hge 1-sided 9005,"70PD & 90HI, 35PD CW - 7pcs",,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",240786,Central locking RS,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",240787,Central locking LS,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",240791,Hndle LS C35,"70PD & 90HI, 35PD CW - 7pcs",,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",240794,Hndle RS C35,"70PD & 90HI, 35PD CW - 7pcs",,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",240908,Handle short sx C35,"70PD & 90HI, 35PD CW - 7pcs",,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",240909,Handle short dx C35,"70PD & 90HI, 35PD CW - 7pcs",,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",244804,Cover prof. 9005,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",245581,"PA insul. bar Sm 37,5/28,4","70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",245592,Plastic profile Bk,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",245660,Spacer prof. Bk,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",245686,Cover prof. Bk,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",245687,"PA insul. bar Sm 37,5/10,4","70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",245887,Cover prof. Bk,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",268740,Cruc. gls carr. 28-32,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",278143,"PA insul. bar Sm 37,5","70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",525440,Inner shell 32,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",525460,Inner shell 46,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",542020,Outer shell 7,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",542980,Outer shell 71,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",576040,Inner shell 46,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",576050,Outer shell 71,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",576090,Inner shell 39,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",576110,Outer shell 39,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",584000,"Insert prof. 12,5","70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
"Villa D58, Flame Tree Ridge A",9643193,insert profile,"70PD & 90HI, 35PD CW - 7pcs",BAR,1.0,3.0,-2.0
"Villa D58, Flame Tree Ridge A",9643198,locking bar,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,2.0,-2.0
Stock,9649621,Sealing pad part,ASE 36,NO,13.0,14.0,-1.0
Stock,9649623,Sealing pad part,ASE 36,NO,13.0,14.0,-1.0
Stock,9649625,Sealing pad part,ASE 36,NO,13.0,14.0,-1.0
Stock,9649628,Sealing pad part,ASE 36,NO,12.0,13.0,-1.0
Rasha + 606+Mea 9 miss access,254518,DOOR STOP,MTO for 54 PD stock,PACKET,0.0,1.0,-1.0
"Villa 24, Street 4, Savannah A",555930,Inner shell 47,AS FD 90 HI,BAR,0.0,1.0,-1.0
"Villa 24, Street 4, Savannah A",555940,Outer shell 83,AS FD 90 HI,BAR,0.0,1.0,-1.0
"Villa 24, Street 4, Savannah A",576010,Inner shell 32,AS FD 90 HI,BAR,0.0,1.0,-1.0
"Villa 24, Street 4, Savannah A",576030,Outer shell 7,AS FD 90 HI,BAR,0.0,1.0,-1.0
"Villa 24, Street 4, Savannah A",576040,Inner shell 46,AS FD 90 HI,BAR,0.0,1.0,-1.0
"Villa 24, Street 4, Savannah A",576050,Outer shell 71,AS FD 90 HI,BAR,0.0,1.0,-1.0
"Villa 24, Street 4, Savannah A",576090,Inner shell 39,AS FD 90 HI,BAR,0.0,1.0,-1.0
"Villa 24, Street 4, Savannah A",576110,Outer shell 39,AS FD 90 HI,BAR,0.0,1.0,-1.0
"Villa 80 - ST3, Esmeralda – A",9648147,sealing piece,ASE 36 (BALANCE),NO,0.0,1.0,-1.0
"Villa 80 - ST3, Esmeralda – A",9649621,sealing piece,ASE 36 (BALANCE),NO,0.0,1.0,-1.0
"Villa 80 - ST3, Esmeralda – A",9649623,sealing piece,ASE 36 (BALANCE),NO,0.0,1.0,-1.0
"Villa 80 - ST3, Esmeralda – A",9649625,sealing piece,ASE 36 (BALANCE),NO,0.0,1.0,-1.0
"Villa D58, Flame Tree Ridge A",225410,Crnr gskt kt LS B1 39/39,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,1.0,-1.0
"Villa D58, Flame Tree Ridge A",225413,Crnr gskt kt RS B1 39/39,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,1.0,-1.0
"Villa D58, Flame Tree Ridge A",225479,Crnr gskt kt RS B3-B4 39/39,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,1.0,-1.0
"Villa D58, Flame Tree Ridge A",225480,Crnr gskt kt LS B3-B4 39/39,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,1.0,-1.0
"Villa D58, Flame Tree Ridge A",225807,Rllr car. 1-sided LS C35,"70PD & 90HI, 35PD CW - 7pcs",NO,0.0,1.0,-1.0
"Villa D58, Flame Tree Ridge A",225808,Rllr car. 1-sided RS C35,"70PD & 90HI, 35PD CW - 7pcs",,0.0,1.0,-1.0
"Villa D58, Flame Tree Ridge A",245557,M/stile pr. Bk,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,1.0,-1.0
"Villa D58, Flame Tree Ridge A",245599,Plastic profile Bk,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,1.0,-1.0
"Villa D58, Flame Tree Ridge A",9643196,additional profile,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,1.0,-1.0
